op_per_byte,op_per_second
1,875000.0003125
2,1333333.33375
3,1374000.0
4,1577333.356875
5,1569285.678125
6,1607714.28625
7,1690250.0
8,1712923.52125
9,1759857.1425
10,1789134.17625
11,1775452.4225
12,1822032.98375
13,1827996.0525
14,1862499.995
15,1832172.62375
16,1888745.0875
17,1884072.358125
18,1886947.36875
19,1875742.4125
20,1871673.9
21,1881534.94375
22,1916067.061875
23,1877327.939375
24,1869001.37875
25,1874476.12375
26,1906769.845625
27,1937928.565
28,1907744.916875
29,1955129.01
30,1950154.069375
31,1943867.333125
32,1907325.57125
33,1940068.05875
34,1938266.286875
35,1928836.4625
36,1954327.04125
37,1933470.671875
38,1969834.89
39,1981310.79875
40,1949846.2225
41,1977648.59625
42,1965986.68875
43,1988586.34125
44,1966532.7775
45,2015771.78625
46,1957844.948125
47,1962378.12625
48,1936755.60875
49,2028188.53625
50,1989264.50875
51,2011037.2
52,1967557.63875
53,1988833.12375
54,1933671.5775
55,1960865.19375
56,1961774.35375
57,1937803.12875
58,2036244.495
59,2020559.89
60,1989643.02125
61,1990621.1775
62,2004567.431875
63,1942062.85375
64,1967357.111875
65,1996127.283125
66,1982594.8
67,1985945.64875
68,2019998.23625
69,1957481.934375
70,1978257.12125
71,1974323.4775
72,2005590.174375
73,1986851.20875
74,1995547.304375
75,1931266.59125
76,2025687.82625
77,2007372.528125
78,1982783.30625
79,1971700.82125
80,2005168.05625
81,1998301.72875
82,1951393.64375
83,1997727.21375
84,2021684.701875
85,1956991.540625
86,2003057.0425
87,2008664.985
88,2009139.801875
89,2000807.464375
90,2004403.53
91,2026461.356875
92,1973542.053125
93,2003380.014375
94,2006953.965625
95,1999352.8175
96,2015228.68875
97,1991751.1625
98,1990191.484375
99,2013136.2075
100,1985582.641875
101,2000796.995
102,1985582.0275
103,2017766.133125
104,2006040.361875
105,1966593.88875
106,1970931.856875
107,1968690.03125
108,1973971.958125
109,2016280.5825
110,1990824.870625
111,2023583.81375
112,1982013.459375
113,2033826.095
114,2000338.325625
115,2015834.254375
116,2037298.7625
117,1978169.361875
118,2047584.650625
119,2007499.535
120,2017150.005
121,2002338.845
122,2024678.2625
123,2018268.215625
124,2012823.718125
125,1980818.204375
126,2008898.864375
127,2025931.000625
128,1992860.97
129,2050766.2175
130,1974949.7875
131,2001045.965
132,2011510.171875
133,1989645.34
134,2019391.12
135,2016835.8825
136,1994269.768125
137,2023269.34625
138,2005905.55125
139,1990436.6425
140,2002673.01875
141,2012525.429375
142,1968846.77875
143,2021291.81625
144,2039284.58125
145,2030581.374375
146,2018285.87125
147,2043247.366875
148,1972630.79
149,1968558.17875
150,1989766.063125
151,2018509.12375
152,2035897.73625
153,1980070.528125
154,2050802.38875
155,1980818.40625
156,2042494.94375
157,2014408.985625
158,2057830.69875
159,1990221.73625
160,2030115.469375
161,2017702.091875
162,1962014.295625
163,2021537.740625
164,2043523.536875
165,2005326.0475
166,1982061.001875
167,2010726.753125
168,2050909.200625
169,2011379.736875
170,2002065.390625
171,2014606.66875
172,2005619.816875
173,2006252.70625
174,2041630.906875
175,2037721.014375
176,2049100.4275
177,2038694.76625
178,2049386.435
179,2006322.7225
180,1956590.735625
181,2013860.05625
182,2028382.938125
183,2034752.095625
184,1988160.783125
185,2021723.30375
186,1983438.645625
187,2028106.65125
188,1986095.215
189,2051039.91625
190,1995292.979375
191,2044725.52125
192,1982285.2025
193,2001395.315
194,2027186.3775
195,2043545.42125
196,2015829.5675
197,2025803.77
198,1969379.68
199,2007907.31375
300,2048138.158125
400,2015247.65125
500,2009480.42
1000,2073615.825
5000,2080533.38375
10000,2077702.94875
50000,2085875.9225
100000,2103432.7075
