flops_per_byte,flops_per_second
1,43017.28089832999
10,425231.9246875
100,4216017.885
1000,42374086.66
10000,419715683.84
100000,4235360547.84
1000000,41670040248.32
10000000,427641233735.68
100000000,4236367623618.56
1000000000,42233717493596.16
10000000000,426593183397314.56
1000000000000000,4.282034404827494e+19
10000000000000000,4.236097436180445e+20
100000000000000000,4.2199928337771025e+21
1000000000000000000,4.284241300621485e+22
