op_per_byte,op_per_second
1,402666.6721875
2,436166.6665625
3,475329.6721875
4,488960.31625
5,500136.8984375
6,497499.71875
7,504337.1915625
8,507039.645
9,517605.1009375
10,517239.77265625
11,523029.9809375
12,512781.4434375
13,521927.1890625
14,516226.60625
15,531078.7853125
16,534525.9596875
17,520490.6821875
18,529674.53375
19,524833.6984375
20,521178.133125
21,536371.7146875
22,528659.0471875
23,519841.840625
24,541788.263125
25,525472.14296875
26,526359.4440625
27,525146.81328125
28,527427.303125
29,531659.0103125
30,523071.1428125
31,527282.420625
32,531569.6896875
33,523832.47609375
34,532679.075
35,543794.7565625
36,533510.0965625
37,519354.5821875
38,536142.4140625
39,529049.4084375
40,533334.160625
41,535800.666875
42,525467.201875
43,536714.416875
44,533766.0359375
45,534603.3815625
46,527896.9375
47,536964.1225
48,536993.0809375
49,535851.85265625
50,534188.77890625
51,537773.1584375
52,539788.84375
53,534741.725625
54,530263.2390625
55,534309.560625
56,535139.255625
57,538330.3915625
58,542219.1740625
59,537741.9975
60,539644.1934375
61,538765.8178125
62,530375.855625
63,530803.965
64,541068.594375
65,528696.864375
66,537035.99
67,537666.9309375
68,523913.14234375
69,536043.1765625
70,549167.095
71,540560.8659375
72,540724.8475
73,535378.591875
74,536370.943125
75,525705.8815625
76,534151.3671875
77,536619.02734375
78,539681.225625
79,544409.8659375
80,526644.476875
81,537850.75
82,538856.42125
83,545844.02375
84,523757.16734375
85,535471.6934375
86,525462.8821875
87,536350.3740625
88,538775.7284375
89,536562.5178125
90,535094.55703125
91,536400.23578125
92,538448.1046875
93,532848.3228125
94,543810.41875
95,532061.3096875
96,535686.8915625
97,535481.00125
98,538914.4309375
99,538639.87515625
100,539660.6746875
101,534845.006875
102,542429.105
103,538878.9446875
104,534207.9325
105,538729.60125
106,532017.754375
107,544198.275
108,549283.3890625
109,532548.135
110,528151.8246875
111,528043.993125
112,545338.556875
113,545658.5578125
114,540539.7953125
115,536500.7996875
116,535847.903125
117,520575.24125
118,535548.3834375
119,527997.83375
120,542003.74375
121,540229.1584375
122,551675.0646875
123,533929.20625
124,527129.86515625
125,535253.651875
126,536375.3434375
127,535710.5840625
128,545814.291875
129,535440.025625
130,538790.521875
131,543905.044375
132,533554.830625
133,540232.293125
134,545572.01625
135,546380.8759375
136,537180.75625
137,524020.02875
138,534151.7528125
139,548575.5478125
140,536879.870625
141,541127.945
142,539435.4671875
143,541269.7084375
144,541302.556875
145,534869.3840625
146,540763.096875
147,530970.3621875
148,540494.483125
149,533775.530625
150,537034.874375
151,537717.5334375
152,539659.4684375
153,541251.893125
154,535143.90375
155,542899.8078125
156,543123.64
157,542253.9553125
158,547324.410625
159,541690.0625
160,534997.0134375
161,540203.9634375
162,541099.0046875
163,538902.415625
164,537040.1528125
165,541154.5225
166,536805.0265625
167,542423.0534375
168,541178.0978125
169,540380.6975
170,530850.7334375
171,547762.0290625
172,540852.674375
173,537936.7365625
174,530904.9128125
175,540465.9015625
176,540818.865625
177,539786.4865625
178,536451.8921875
179,542013.1115625
180,547285.12875
181,537181.6025
182,542822.153125
183,537037.3859375
184,543295.3909375
185,539465.74046875
186,539989.645625
187,535753.2971875
188,542346.7978125
189,545876.9940625
190,539512.135625
191,541140.964375
192,544786.1215625
193,530019.735625
194,544636.82875
195,543942.205
196,541599.3978125
197,540417.8053125
198,530558.3225
199,532227.205
300,545889.9265625
400,548434.38375
500,546231.3459375
1000,544968.073125
5000,551691.501875
10000,552362.13625
50000,556664.601875
100000,555724.315
