op_per_byte,op_per_second
1,252833.3340625
2,278681.315
3,285614.511875
4,293626.3725
5,296752.45828125
6,297252.05296875
7,298637.48320312
8,302108.2571875
9,302396.5475
10,303394.9871875
11,304756.9784375
12,304470.865625
13,303934.45625
14,306093.2690625
15,306385.19375
16,306427.5365625
17,306883.11875
18,306630.79
19,306814.1484375
20,306602.70625
21,307677.99
22,307861.8734375
23,307516.9765625
24,308033.9953125
25,307810.586875
26,307321.6225
27,307872.6896875
28,307477.935
29,308626.1759375
30,308542.86375
31,308661.1828125
32,308862.8965625
33,308811.0853125
34,308713.3028125
35,308092.3190625
36,308412.9225
37,305004.04453125
38,307513.368125
39,307001.05796875
40,306457.2153125
41,308737.6946875
42,308299.3753125
43,308721.9621875
44,307328.67890625
45,309189.3690625
46,308936.700625
47,306027.72515625
48,308521.07359375
49,309023.488125
50,308615.1190625
51,308449.35046875
52,308114.8253125
53,308589.67953125
54,308377.90640625
55,309170.955625
56,308331.78203125
57,309432.4978125
58,308884.4146875
59,307950.32515625
60,308348.43234375
61,307384.341875
62,309700.2825
63,309167.160625
64,309203.4003125
65,309087.0215625
66,308475.230625
67,309086.4190625
68,309675.7184375
69,308590.65109375
70,309380.7753125
71,309460.243125
72,308851.8678125
73,308185.175625
74,309766.62625
75,309363.5740625
76,308696.685
77,309170.44875
78,307961.01828125
79,309531.6540625
80,309579.8946875
81,309429.925
82,308824.9546875
83,307666.5496875
84,309531.1715625
85,308071.2303125
86,308700.163125
87,308908.69296875
88,309028.7653125
89,308267.00171875
90,308828.24328125
91,308810.933125
92,309719.389375
93,308490.655625
94,309748.031875
95,309286.62640625
96,309399.11375
97,308092.19640625
98,309836.036875
99,310107.6265625
100,309695.461875
101,309384.2575
102,309449.385625
103,309570.0534375
104,309384.69984375
105,310206.178125
106,308830.6171875
107,307984.9803125
108,309933.335
109,308014.97046875
110,310063.1665625
111,309062.35921875
112,308361.51453125
113,307775.2309375
114,309968.824375
115,309725.06625
116,309798.8921875
117,309114.90125
118,309779.9740625
119,309645.4046875
120,309913.0425
121,309672.370625
122,308541.95734375
123,308577.204375
124,309787.3884375
125,309807.2971875
126,309348.81375
127,309798.2878125
128,309730.2646875
129,309424.724375
130,309355.8328125
131,309790.2609375
132,309361.4765625
133,309762.828125
134,310212.3628125
135,309720.276875
136,309781.81625
137,309968.598125
138,309830.300625
139,309637.96375
140,309195.95328125
141,309390.7515625
142,309188.9834375
143,309683.5984375
144,308584.1309375
145,309716.3965625
146,309336.9540625
147,308954.1015625
148,309064.5653125
149,309231.0021875
150,309528.369375
151,309233.22375
152,309545.4171875
153,309210.135
154,309890.7996875
155,309303.14359375
156,308986.12515625
157,309911.689375
158,309533.58875
159,309847.469375
160,310089.9728125
161,310192.914375
162,310008.7434375
163,309816.0809375
164,309993.156875
165,308693.3615625
166,309939.163125
167,310332.0934375
168,309315.25609375
169,309179.0365625
170,309615.2490625
171,309667.09375
172,309137.0325
173,309661.293125
174,309584.14625
175,310071.4340625
176,309929.48125
177,309837.67625
178,309784.7884375
179,309372.20625
180,310325.4159375
181,309897.7978125
182,309981.4815625
183,309222.564375
184,309566.5940625
185,309388.32796875
186,310244.8078125
187,310240.14375
188,310249.37875
189,309579.341875
190,310084.1553125
191,310219.7978125
192,309830.0090625
193,309652.2059375
194,310210.890625
195,309514.1153125
196,308816.8590625
197,309498.9734375
198,309891.991875
199,309327.4071875
300,310409.135
400,310216.843125
500,309962.99875
1000,310272.0875
5000,310939.3390625
10000,310937.249375
50000,310687.208125
100000,311146.690625
